MÊS;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;MARGEM MÉDIA REVENDA;COEF DE VARIAÇÃO REVENDA;PREÇO MÉDIO DISTRIBUIÇÃO;DESVIO PADRÃO DISTRIBUIÇÃO;PREÇO MÍNIMO DISTRIBUIÇÃO;PREÇO MÁXIMO DISTRIBUIÇÃO;COEF DE VARIAÇÃO DISTRIBUIÇÃO;;;
jun/14;OLEO DIESEL S10;16913;R$/l;2,609;0,127;2,299;3,400;0,295;0,049;2,314;0,090;1,950;2,975;0,039;;;
jun/14;ETANOL HIDRATADO;33237;R$/l;2,071;0,294;1,549;3,170;0,341;0,142;1,730;0,276;1,342;2,741;0,160;;;
jun/14;GASOLINA COMUM;36480;R$/l;2,966;0,163;2,499;4,159;0,393;0,055;2,573;0,110;2,250;3,163;0,043;;;
jun/14;GLP;32784;R$/13kg;42,692;4,650;29,900;65,000;12,273;0,109;30,419;5,738;14,663;55,000;0,189;;;
jun/14;GNV;2222;R$/m3;1,888;0,209;1,399;2,699;0,448;0,111;1,440;0,184;1,092;2,042;0,128;;;
jul/14;OLEO DIESEL;27942;R$/l;2,499;0,130;2,150;3,310;0,303;0,052;2,196;0,094;1,880;2,769;0,043;;;
jul/14;OLEO DIESEL S10;19379;R$/l;2,610;0,128;2,299;3,400;0,292;0,049;2,318;0,090;1,950;2,883;0,039;;;
jul/14;ETANOL HIDRATADO;37356;R$/l;2,042;0,299;1,559;3,200;0,319;0,146;1,723;0,260;1,359;2,629;0,151;;;
jul/14;GASOLINA COMUM;40985;R$/l;2,957;0,171;2,488;4,169;0,393;0,058;2,564;0,113;2,230;3,167;0,044;;;
jul/14;GLP;38671;R$/13kg;42,657;4,712;28,000;65,000;12,324;0,110;30,333;5,874;14,660;55,000;0,194;;;
jul/14;GNV;2546;R$/m3;1,892;0,191;1,399;2,799;0,455;0,101;1,437;0,188;1,073;2,042;0,131;;;
ago/14;OLEO DIESEL;23265;R$/l;2,501;0,130;2,150;3,310;0,296;0,052;2,205;0,095;1,991;2,769;0,043;;;
ago/14;OLEO DIESEL S10;16759;R$/l;2,633;0,128;2,216;3,400;0,295;0,049;2,338;0,090;2,103;2,883;0,038;;;
ago/14;ETANOL HIDRATADO;31294;R$/l;2,034;0,302;1,559;3,200;0,318;0,148;1,716;0,263;1,360;2,663;0,153;;;
ago/14;GASOLINA COMUM;34448;R$/l;2,960;0,169;2,488;4,169;0,399;0,057;2,561;0,113;2,240;3,153;0,044;;;
ago/14;GLP;31735;R$/13kg;42,638;4,683;28,000;65,000;12,178;0,110;30,460;5,809;14,660;55,000;0,191;;;
ago/14;GNV;2134;R$/m3;1,916;0,182;1,399;2,799;0,468;0,095;1,448;0,182;1,085;2,048;0,126;;;
set/14;OLEO DIESEL;26629;R$/l;2,501;0,130;2,190;3,310;0,295;0,052;2,206;0,097;1,910;2,891;0,044;;;
set/14;OLEO DIESEL S10;19813;R$/l;2,640;0,126;2,199;3,400;0,296;0,048;2,344;0,090;2,073;2,981;0,038;;;
set/14;ETANOL HIDRATADO;35737;R$/l;2,005;0,305;1,499;3,200;0,309;0,152;1,696;0,267;1,340;2,502;0,157;;;
set/14;GASOLINA COMUM;39519;R$/l;2,963;0,165;2,499;4,169;0,404;0,056;2,559;0,116;2,220;3,136;0,045;;;
set/14;GLP;35430;R$/13kg;43,700;5,025;28,000;69,000;12,932;0,115;30,768;5,919;14,660;55,000;0,192;;;
set/14;GNV;2412;R$/m3;1,900;0,179;1,399;2,799;0,457;0,094;1,443;0,162;1,085;2,145;0,112;;;
out/14;OLEO DIESEL;25424;R$/l;2,500;0,131;2,190;3,310;0,293;0,052;2,207;0,100;1,939;2,891;0,045;;;
out/14;OLEO DIESEL S10;19247;R$/l;2,640;0,127;2,329;3,400;0,298;0,048;2,342;0,093;2,032;2,981;0,040;;;
out/14;ETANOL HIDRATADO;34305;R$/l;1,999;0,308;1,470;3,170;0,330;0,154;1,669;0,280;1,275;2,673;0,168;;;
out/14;GASOLINA COMUM;37883;R$/l;2,960;0,166;2,450;4,159;0,403;0,056;2,557;0,115;2,220;3,298;0,045;;;
out/14;GLP;35862;R$/13kg;44,432;5,049;29,000;69,000;13,278;0,114;31,154;5,902;14,660;55,000;0,189;;;
out/14;GNV;2370;R$/m3;1,903;0,175;1,379;2,799;0,461;0,092;1,442;0,164;1,118;2,048;0,114;;;
nov/14;OLEO DIESEL;22960;R$/l;2,564;0,142;2,199;3,440;0,312;0,055;2,252;0,110;1,982;2,976;0,049;;;
nov/14;OLEO DIESEL S10;17971;R$/l;2,713;0,140;2,349;3,560;0,323;0,052;2,390;0,106;2,046;2,900;0,044;;;
nov/14;ETANOL HIDRATADO;31032;R$/l;2,016;0,303;1,470;3,430;0,349;0,150;1,667;0,273;1,315;2,673;0,164;;;
nov/14;GASOLINA COMUM;34316;R$/l;3,009;0,170;2,450;4,369;0,430;0,056;2,579;0,117;2,240;3,171;0,045;;;
nov/14;GLP;31595;R$/13kg;44,596;5,098;30,000;69,000;13,194;0,114;31,402;5,968;14,660;55,000;0,190;;;
nov/14;GNV;2102;R$/m3;1,907;0,183;1,379;2,889;0,467;0,096;1,440;0,170;1,113;2,048;0,118;;;
dez/14;OLEO DIESEL;28340;R$/l;2,606;0,135;2,199;3,460;0,302;0,052;2,304;0,103;2,016;2,913;0,045;;;
dez/14;OLEO DIESEL S10;22849;R$/l;2,756;0,134;2,370;3,590;0,317;0,049;2,439;0,103;2,049;3,118;0,042;;;
dez/14;ETANOL HIDRATADO;38670;R$/l;2,041;0,292;1,599;3,328;0,316;0,143;1,725;0,246;1,350;2,786;0,143;;;
dez/14;GASOLINA COMUM;42745;R$/l;3,031;0,171;2,499;4,299;0,424;0,056;2,607;0,121;2,223;3,218;0,046;;;
dez/14;GLP;39145;R$/13kg;44,701;5,044;29,990;69,000;13,262;0,113;31,439;5,919;14,660;51,500;0,188;;;
dez/14;GNV;2642;R$/m3;1,913;0,181;1,379;2,889;0,455;0,095;1,458;0,170;1,113;2,048;0,117;;;
jan/15;OLEO DIESEL;22914;R$/l;2,611;0,137;2,130;3,460;0,294;0,052;2,317;0,103;1,941;3,034;0,044;;;
jan/15;OLEO DIESEL S10;18498;R$/l;2,763;0,134;2,099;3,590;0,305;0,048;2,458;0,101;2,124;3,118;0,041;;;
jan/15;ETANOL HIDRATADO;31032;R$/l;2,061;0,286;1,599;3,320;0,295;0,139;1,766;0,238;1,395;2,786;0,135;;;
jan/15;GASOLINA COMUM;34414;R$/l;3,032;0,171;2,499;4,299;0,408;0,056;2,624;0,119;2,210;3,218;0,045;;;
jan/15;GLP;31967;R$/13kg;44,673;5,094;30,000;69,000;13,254;0,114;31,419;5,920;14,660;51,500;0,188;;;
jan/15;GNV;2099;R$/m3;1,926;0,182;1,379;2,889;0,486;0,094;1,440;0,179;1,096;2,048;0,124;;;
fev/15;OLEO DIESEL;22554;R$/l;2,788;0,154;2,199;3,740;0,374;0,055;2,414;0,125;2,040;3,092;0,052;;;
fev/15;OLEO DIESEL S10;18824;R$/l;2,937;0,148;2,099;3,750;0,381;0,050;2,556;0,124;2,120;3,285;0,049;;;
fev/15;ETANOL HIDRATADO;30770;R$/l;2,224;0,267;1,630;3,610;0,354;0,120;1,870;0,230;1,338;2,757;0,123;;;
fev/15;GASOLINA COMUM;34078;R$/l;3,301;0,187;2,350;4,520;0,508;0,057;2,793;0,159;2,237;3,437;0,057;;;
fev/15;GLP;31577;R$/13kg;44,892;5,200;30,000;69,000;13,331;0,116;31,561;6,029;14,660;51,500;0,191;;;
fev/15;GNV;2156;R$/m3;1,944;0,175;1,379;2,889;0,494;0,090;1,450;0,176;1,096;2,048;0,121;;;
mar/15;OLEO DIESEL;25823;R$/l;2,810;0,147;2,299;3,700;0,334;0,052;2,476;0,112;2,041;3,213;0,045;;;
mar/15;OLEO DIESEL S10;22144;R$/l;2,958;0,142;2,499;3,750;0,343;0,048;2,615;0,111;2,122;3,382;0,042;;;
mar/15;ETANOL HIDRATADO;35541;R$/l;2,226;0,276;1,650;3,610;0,381;0,124;1,845;0,251;1,381;2,757;0,136;;;
mar/15;GASOLINA COMUM;39073;R$/l;3,323;0,186;2,749;4,529;0,448;0,056;2,875;0,127;2,243;3,451;0,044;;;
mar/15;GLP;34101;R$/13kg;45,228;5,505;28,000;69,000;13,436;0,122;31,792;6,282;14,000;57,000;0,198;;;
mar/15;GNV;2490;R$/m3;1,955;0,179;1,399;2,889;0,499;0,092;1,456;0,158;1,156;2,158;0,109;;;
abr/15;OLEO DIESEL;24373;R$/l;2,809;0,147;2,349;3,700;0,332;0,052;2,477;0,109;2,127;3,056;0,044;;;
abr/15;OLEO DIESEL S10;21138;R$/l;2,957;0,141;2,359;3,750;0,343;0,048;2,614;0,105;2,175;3,211;0,040;;;
abr/15;ETANOL HIDRATADO;33790;R$/l;2,179;0,296;1,649;3,610;0,391;0,136;1,788;0,258;1,369;2,706;0,144;;;
abr/15;GASOLINA COMUM;37269;R$/l;3,308;0,200;2,749;4,529;0,435;0,060;2,873;0,132;2,271;3,383;0,046;;;
abr/15;GLP;31695;R$/13kg;45,765;5,512;28,000;70,000;14,083;0,120;31,682;6,004;14,660;52,000;0,190;;;
abr/15;GNV;2283;R$/m3;1,986;0,190;1,459;2,889;0,516;0,096;1,470;0,195;1,121;2,258;0,133;;;
mai/15;OLEO DIESEL;22157;R$/l;2,808;0,147;2,419;3,700;0,326;0,052;2,482;0,110;2,111;3,066;0,044;;;
mai/15;OLEO DIESEL S10;19551;R$/l;2,956;0,140;2,569;3,750;0,339;0,047;2,617;0,108;2,300;3,040;0,041;;;
mai/15;ETANOL HIDRATADO;30876;R$/l;2,141;0,309;1,579;3,610;0,370;0,144;1,771;0,269;1,363;2,706;0,152;;;
mai/15;GASOLINA COMUM;33871;R$/l;3,299;0,205;2,749;4,519;0,432;0,062;2,867;0,134;2,441;3,389;0,047;;;
mai/15;GLP;29306;R$/13kg;45,950;5,552;29,990;70,000;14,001;0,121;31,949;5,770;14,660;54,000;0,181;;;
mai/15;GNV;2081;R$/m3;2,005;0,201;1,479;3,090;0,524;0,100;1,481;0,178;1,162;2,233;0,120;;;
jun/15;OLEO DIESEL;25964;R$/l;2,807;0,147;2,450;3,700;0,322;0,052;2,485;0,114;2,113;3,126;0,046;;;
jun/15;OLEO DIESEL S10;23032;R$/l;2,957;0,139;2,569;3,750;0,336;0,047;2,621;0,107;2,143;3,241;0,041;;;
jun/15;ETANOL HIDRATADO;36073;R$/l;2,112;0,320;1,579;3,610;0,371;0,152;1,741;0,281;1,336;2,691;0,161;;;
jun/15;GASOLINA COMUM;39539;R$/l;3,301;0,203;2,719;4,519;0,437;0,061;2,864;0,137;2,450;3,470;0,048;;;
jun/15;GLP;33997;R$/13kg;45,920;5,605;29,990;70,000;14,024;0,122;31,896;5,654;14,660;55,000;0,177;;;
jun/15;GNV;2353;R$/m3;2,023;0,200;1,399;2,999;0,560;0,099;1,463;0,192;1,157;2,315;0,131;;;
jul/15;OLEO DIESEL;23492;R$/l;2,805;0,145;2,440;3,700;0,308;0,052;2,497;0,108;2,104;3,126;0,043;;;
jul/15;OLEO DIESEL S10;21511;R$/l;2,954;0,138;2,469;3,750;0,325;0,047;2,629;0,103;2,260;3,244;0,039;;;
jul/15;ETANOL HIDRATADO;33344;R$/l;2,081;0,334;1,479;3,610;0,359;0,160;1,722;0,285;1,338;2,674;0,166;;;
jul/15;GASOLINA COMUM;36463;R$/l;3,296;0,208;2,719;4,519;0,432;0,063;2,864;0,136;2,390;3,392;0,047;;;
jul/15;GLP;31903;R$/13kg;45,959;5,494;29,990;70,000;14,074;0,120;31,885;5,768;13,984;55,000;0,181;;;
jul/15;GNV;2352;R$/m3;2,057;0,190;1,479;2,987;0,554;0,092;1,503;0,187;1,165;2,314;0,124;;;
ago/15;OLEO DIESEL;13157;R$/l;2,805;0,146;2,450;3,700;0,294;0,052;2,511;0,112;2,136;3,131;0,045;;;
ago/15;OLEO DIESEL S10;12510;R$/l;2,954;0,137;2,499;3,750;0,323;0,046;2,631;0,104;2,112;3,269;0,040;;;
ago/15;ETANOL HIDRATADO;19054;R$/l;2,061;0,345;1,467;3,610;0,362;0,167;1,699;0,295;1,171;2,699;0,174;;;
ago/15;GASOLINA COMUM;20698;R$/l;3,295;0,210;2,749;4,519;0,432;0,064;2,863;0,141;2,374;3,403;0,049;;;
ago/15;GLP;18870;R$/13kg;46,015;5,579;29,990;70,000;14,043;0,121;31,972;5,717;13,984;53,210;0,179;;;
ago/15;GNV;1292;R$/m3;2,099;0,187;1,579;3,090;0,539;0,089;1,560;0,206;1,177;2,347;0,132;;;
set/15;OLEO DIESEL;7915;R$/l;2,809;0,153;2,480;3,640;0,279;0,054;2,530;0,116;2,104;3,110;0,046;;;
